Borough,Collision ID,Contributing Factor 1,Crash Date,Crash Time,Latitude,Location,Longitude,Number of Cyclists Injured,Number of Cyclists Killed,Number of Motorists Injured,Number of Motorists Killed,Number of Pedestrians Injured,number_of_pedestrians_killed,Number of Persons Killed,Number of Persons Killed,Vehicle 1 Code,Zip Code
QUEENS,4358708,Failure to Yield Right-of-Way,2020-10-15T00:00:00.000,2020-12-14 16:32:00,40.720154,"{'latitude': '40.720154', 'longitude': '-73.87531'}",-73.87531,1,0,0,0,0,0,1,0,Station Wagon/Sport Utility Vehicle,11379.0
BROOKLYN,4374162,Reaction to Uninvolved Vehicle,2020-11-29T00:00:00.000,2020-12-14 01:00:00,40.654102,"{'latitude': '40.654102', 'longitude': '-73.9258'}",-73.9258,0,0,0,0,0,0,0,0,Sedan,11203.0
QUEENS,4365064,Unspecified,2020-11-07T00:00:00.000,2020-12-14 06:55:00,40.66504,"{'latitude': '40.66504', 'longitude': '-73.76218'}",-73.76218,0,0,0,0,0,0,0,0,Sedan,11413.0
BROOKLYN,4363006,Driver Inattention/Distraction,2020-10-18T00:00:00.000,2020-12-14 19:50:00,40.643246,"{'latitude': '40.643246', 'longitude': '-73.94877'}",-73.94877,0,0,0,0,0,0,0,0,Sedan,11226.0
BROOKLYN,4364530,Following Too Closely,2020-11-05T00:00:00.000,2020-12-14 11:41:00,40.65152,"{'latitude': '40.65152', 'longitude': '-73.909454'}",-73.909454,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,11236.0
QUEENS,4369426,Unspecified,2020-11-21T00:00:00.000,2020-12-14 21:18:00,40.745167,"{'latitude': '40.745167', 'longitude': '-73.82139'}",-73.82139,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,11355.0
STATEN ISLAND,4361120,Unspecified,2020-10-25T00:00:00.000,2020-12-14 01:45:00,40.545124,"{'latitude': '40.545124', 'longitude': '-74.160965'}",-74.160965,0,0,0,0,0,0,0,0,Sedan,10312.0
MANHATTAN,4369458,Passing or Lane Usage Improper,2020-11-21T00:00:00.000,2020-12-14 15:11:00,40.75686,"{'latitude': '40.75686', 'longitude': '-73.96105'}",-73.96105,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,10022.0
BROOKLYN,4372387,Failure to Yield Right-of-Way,2020-12-01T00:00:00.000,2020-12-14 17:30:00,40.629112,"{'latitude': '40.629112', 'longitude': '-74.027885'}",-74.027885,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,11209.0
BRONX,4362741,Driver Inattention/Distraction,2020-10-30T00:00:00.000,2020-12-14 19:13:00,40.86551,"{'latitude': '40.86551', 'longitude': '-73.85962'}",-73.85962,0,0,1,0,0,0,1,0,Sedan,10469.0
BRONX,4360809,Passing Too Closely,2020-10-24T00:00:00.000,2020-12-14 19:47:00,40.832214,"{'latitude': '40.832214', 'longitude': '-73.90344'}",-73.90344,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,10456.0
BRONX,4372605,Unsafe Speed,2020-12-02T00:00:00.000,2020-12-14 02:10:00,40.820297,"{'latitude': '40.820297', 'longitude': '-73.90411'}",-73.90411,0,0,7,0,0,0,7,0,Sedan,10456.0
MANHATTAN,4361242,Passing Too Closely,2020-10-22T00:00:00.000,2020-12-14 09:00:00,40.777542,"{'latitude': '40.777542', 'longitude': '-73.957016'}",-73.957016,0,0,0,0,0,0,0,0,Sedan,10028.0
BRONX,4374217,Unspecified,2020-11-30T00:00:00.000,2020-12-14 14:50:00,40.814716,"{'latitude': '40.814716', 'longitude': '-73.85656'}",-73.85656,0,0,0,0,0,0,0,0,Sedan,10473.0
QUEENS,4367370,Other Vehicular,2020-11-13T00:00:00.000,2020-12-14 16:50:00,40.73968,"{'latitude': '40.73968', 'longitude': '-73.716736'}",-73.716736,0,0,0,0,0,0,0,0,Sedan,11426.0
BRONX,4369681,Unspecified,2020-11-18T00:00:00.000,2020-12-14 21:05:00,40.877052,"{'latitude': '40.877052', 'longitude': '-73.90326'}",-73.90326,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,10463.0
MANHATTAN,4370212,Driver Inattention/Distraction,2020-11-23T00:00:00.000,2020-12-14 15:19:00,40.764286,"{'latitude': '40.764286', 'longitude': '-73.95562'}",-73.95562,0,0,0,0,0,0,0,0,Van,10065.0
BROOKLYN,4372949,Obstruction/Debris,2020-12-03T00:00:00.000,2020-12-14 17:30:00,40.682407,"{'latitude': '40.682407', 'longitude': '-73.96569'}",-73.96569,0,0,0,0,0,0,0,0,Sedan,11238.0
